PC1,PC2,Cluster
0.8726580496435792,2.686758009555269,2
2.55025989717957,-0.8044273463632132,1
0.47514179418714875,0.7461208779133902,2
0.14583196924288636,-0.4604804668029534,0
-1.688990494965411,0.6765554894664504,3
1.4395747508697956,0.6364771321502128,2
-2.1539869437447816,-0.0662311575169911,3
-1.0235592605169657,0.9190028273014883,3
-1.3976104298490142,0.5577377823772004,3
0.925984427323034,0.092258274030319,2
0.5416740683657241,0.33482137218502245,2
1.0437798089466375,-1.6560055994351535,0
1.1723462675744463,1.0458853584509287,2
0.5973588398722146,0.5746954619260521,2
-1.9270667831567707,0.4228329532496284,3
2.81984265247381,-0.4295686845806041,1
-0.6912538378174343,0.3610473576335414,3
1.1415540880391117,-0.7206488623482658,0
-0.9897521043032818,1.0287798268799604,3
-0.4334430998624942,-2.189545491937626,0
0.9424586559120679,0.7525926204977904,2
0.22827949141447748,0.24941287036656656,2
0.13437216049610304,0.5165553539123864,2
-1.6493047362822792,0.7099533965968708,3
-0.36266333669852213,-0.607086362414656,0
0.06988920098928607,-1.1175615544368807,0
-0.5783259692518177,1.417386811682713,2
-0.1812317012226585,1.0309438422749015,2
-0.3743784838820118,0.33450605167282,2
1.1292507908117344,0.13963559905770967,2
1.6227713603000664,-0.7839695201384548,1
0.31192889116216105,1.3942551695612857,2
-0.163592255706036,-0.44720020741499283,0
-1.26814826127451,0.9537095247140176,3
1.5587445541981355,0.08464947658792099,1
-0.9394834870493722,0.004062740498858308,3
-0.5419874572875221,-0.8581966000267334,0
0.43021421498820867,0.6743491059808396,2
-0.09093258965185512,0.32519654186747743,2
2.0955590168786906,0.4554079977751412,1
0.4272496023222021,0.20012303714128638,2
-0.21474267565219238,0.05509963601649551,2
0.07151790488550001,0.8600979116463878,2
-2.3300001503362617,0.16407038133630863,3
-1.8907212605685595,0.5598719258295132,3
-0.8816661430600801,-0.38043820415909724,3
-0.6369992716727882,0.8071052642951105,2
0.7743205656033002,0.025492302109313244,2
0.7683735592717778,0.5447731571974691,2
1.1724978592469195,0.4787253267510192,2
1.1162838930136416,1.3541431637533685,2
-0.9757065755782937,1.0949947205750283,3
0.09224918132952802,0.5215961758547355,2
-0.09345826008305101,0.2761380922238723,2
-0.6800924747452122,0.9063065314476102,3
4.252635175262886,2.153154156093849,1
2.563209976222719,-0.5968291937827156,1
-0.9774400878310425,0.29174580178057363,3
-0.8137299999401868,-0.10352081554933071,3
0.6677669222651015,-0.4943223048732525,0
-0.2015880991933539,0.522498945481227,2
2.412926857649245,-1.3219602634190464,1
-0.2905064655589657,1.0300677408457566,2
-0.7659597586263917,0.11390742140558373,3
-1.2496281556662445,0.5854143407069009,3
0.3613024594551531,-0.38006393446732517,0
2.203369532069046,0.8973490720610752,1
